## Execution counts

<details>
<summary> execution counts for all instructions </summary>

|Name | Count | Self | Cumulative | Miss ratio | 
| LOAD_BUILD_CLASS | 1,320 | 0.0% | 100.0% |  |
| INSTRUMENTED_POP_JUMP_IF_NONE | 540 | 0.0% | 100.0% |  |
| INSTRUMENTED_JUMP_FORWARD | 300 | 0.0% | 100.0% |  |
| INSTRUMENTED_POP_JUMP_IF_NOT_NONE | 300 | 0.0% | 100.0% |  |
| FORMAT_WITH_SPEC | 60 | 0.0% | 100.0% |  |


</details>

## Pair counts

<details>
<summary> Pair counts for top 100 pairs </summary>

|Pair | Count | Self | Cumulative | 
|---|---:|---:|---:|
| LOAD_FAST LOAD_ATTR_INSTANCE_VALUE | 3,432,432,861 | 3.0% | 3.0% |
| POP_JUMP_IF_FALSE LOAD_FAST | 3,071,633,748 | 2.7% | 5.7% |
| STORE_FAST LOAD_FAST | 3,023,965,106 | 2.6% | 8.3% |
| RESUME_CHECK LOAD_FAST | 2,458,937,843 | 2.1% | 10.4% |
| TO_BOOL_BOOL POP_JUMP_IF_FALSE | 2,344,003,260 | 2.0% | 12.5% |
| CALL_PY_EXACT_ARGS RESUME_CHECK | 2,157,291,594 | 1.9% | 14.4% |
| LOAD_GLOBAL_BUILTIN LOAD_FAST | 2,023,346,144 | 1.8% | 16.1% |
| LOAD_FAST LOAD_CONST | 1,786,357,467 | 1.6% | 17.7% |
| STORE_FAST_STORE_FAST STORE_FAST_STORE_FAST | 1,539,737,251 | 1.3% | 19.0% |
| LOAD_FAST LOAD_ATTR_METHOD_WITH_VALUES | 1,407,040,891 | 1.2% | 20.3% |
| CACHE RESUME_CHECK | 1,399,671,896 | 1.2% | 21.5% |
| LOAD_FAST LOAD_ATTR_SLOT | 1,366,293,591 | 1.2% | 22.7% |
| POP_TOP LOAD_FAST | 1,057,616,458 | 0.9% | 23.6% |
| LOAD_FAST RETURN_VALUE | 994,155,980 | 0.9% | 24.5% |
| COMPARE_OP_INT POP_JUMP_IF_FALSE | 986,846,229 | 0.9% | 25.3% |
| LOAD_CONST LOAD_FAST | 953,474,631 | 0.8% | 26.2% |
| POP_TOP ENTER_EXECUTOR | 809,049,083 | 0.7% | 26.9% |
| LOAD_ATTR_INSTANCE_VALUE LOAD_FAST | 797,860,574 | 0.7% | 27.6% |
| LOAD_FAST LOAD_GLOBAL_BUILTIN | 795,562,502 | 0.7% | 28.2% |
| LOAD_FAST CALL_PY_EXACT_ARGS | 789,758,760 | 0.7% | 28.9% |
| RESUME_CHECK LOAD_GLOBAL_BUILTIN | 769,407,088 | 0.7% | 29.6% |
| RETURN_VALUE STORE_FAST | 764,185,045 | 0.7% | 30.3% |
| LOAD_FAST LOAD_GLOBAL_MODULE | 758,364,529 | 0.7% | 30.9% |
| LOAD_FAST LOAD_ATTR | 750,539,443 | 0.7% | 31.6% |
| RETURN_CONST POP_TOP | 744,695,329 | 0.6% | 32.2% |
| TO_BOOL_BOOL POP_JUMP_IF_TRUE | 676,635,749 | 0.6% | 32.8% |
| LOAD_ATTR_METHOD_WITH_VALUES LOAD_FAST | 665,115,808 | 0.6% | 33.4% |
| LOAD_ATTR_INSTANCE_VALUE TO_BOOL_BOOL | 647,570,539 | 0.6% | 34.0% |
| CONTAINS_OP POP_JUMP_IF_FALSE | 644,111,677 | 0.6% | 34.5% |
| LOAD_ATTR_METHOD_WITH_VALUES CALL_PY_EXACT_ARGS | 642,881,606 | 0.6% | 35.1% |
| CALL_ISINSTANCE TO_BOOL_BOOL | 603,443,569 | 0.5% | 35.6% |
| RETURN_VALUE INTERPRETER_EXIT | 594,815,160 | 0.5% | 36.1% |
| LOAD_ATTR_METHOD_NO_DICT LOAD_FAST | 591,092,649 | 0.5% | 36.6% |
| POP_JUMP_IF_FALSE LOAD_GLOBAL_BUILTIN | 581,407,798 | 0.5% | 37.2% |
| STORE_FAST LOAD_FAST_LOAD_FAST | 581,017,713 | 0.5% | 37.7% |
| LOAD_FAST TO_BOOL_BOOL | 577,053,018 | 0.5% | 38.2% |
| RESUME_CHECK POP_TOP | 562,911,939 | 0.5% | 38.7% |
| LOAD_FAST CALL_BUILTIN_O | 554,965,552 | 0.5% | 39.1% |
| LOAD_FAST_LOAD_FAST STORE_ATTR_SLOT | 546,016,810 | 0.5% | 39.6% |
| POP_JUMP_IF_TRUE LOAD_FAST | 535,184,218 | 0.5% | 40.1% |
| LOAD_FAST POP_JUMP_IF_NOT_NONE | 532,926,648 | 0.5% | 40.5% |
| RETURN_CONST INTERPRETER_EXIT | 526,548,128 | 0.5% | 41.0% |
| STORE_FAST_STORE_FAST LOAD_FAST | 517,732,763 | 0.5% | 41.5% |
| LOAD_CONST BINARY_OP_ADD_INT | 507,839,404 | 0.4% | 41.9% |
| LOAD_CONST LOAD_CONST | 506,757,323 | 0.4% | 42.3% |
| LOAD_GLOBAL_MODULE LOAD_ATTR_MODULE | 501,355,366 | 0.4% | 42.8% |
| LOAD_FAST PUSH_NULL | 501,078,124 | 0.4% | 43.2% |
| PUSH_NULL LOAD_FAST | 497,327,816 | 0.4% | 43.6% |
